SN,KP,PMID,Triple,Category,Gene Symbol,Cell type,Disease,Drugs,Pathway,Symptoms,Patient characteristics,Expression level,Markers,Environmental factors,Metabolites,Fact or Inference,一级标签,二级标签,三级标签,四级标签,五级标签,最具体的标签描述
5302,KP10,25231023,Sarcomatous overgrowth#is associated with#higher stage and shorter survival,Patient Outcomes,-,-,Sarcomatous overgrowth,-,-,-,-,-,-,-,-,Fact,5.2,5.2.1,5.2.1.2,-,-,缺失
181,KP10,25231023,CDK4 and MDM2 amplifications#are accompanied by#focal CDK4 and MDM2 and diffuse HMGA2 expression,Expression Patterns,"CDK4,MDM2,HMGA2",-,-,-,-,-,-,Upregulated,-,-,-,Fact,5,5.3,5.3.1,5.3.1.1,-,CDK4扩增
5382,KP10,30420727,DDIT3 amplification#was evaluated in#48 cases of dedifferentiated liposarcoma,Genomic Alterations,DDIT3,-,Dedifferentiated liposarcoma,-,-,-,-,-,-,-,-,Fact,5,5.3,5.3.1,5.3.1.4,-,基因组不稳定性
3156,KP10,30420727,DDIT3 amplification#was analyzed for#relationship with prognostic outcomes,Prognostic Associations,DDIT3,-,-,-,-,-,-,-,-,-,-,Fact,7,7.2,7.2.1,7.2.1.1,-,细胞周期蛋白
6146,KP10,30420727,Myxoid liposarcoma-like features#were identified in#cases with DDIT3 amplification,Disease-Specific Categories,DDIT3,-,Myxoid liposarcoma,-,-,-,-,-,-,-,-,Fact,5,5.3,5.3.1,5.3.1.4,-,基因组不稳定性
4279,KP10,19304958,Cancer-associated genes#may serve as#prognostic markers or therapeutic targets,Biomarker Analysis,-,-,Cancer,-,-,-,-,-,-,-,-,Inference,7,7.2,7.2.1,7.2.1.2,-,信号通路蛋白
3567,KP10,36676955,"WA treatment#up-regulates#miR-181c-5p, miR-15a-5p, miR-500b-5p, miR-191-3p, and miR-34a-5p",RNA Regulation,-,-,Cancer,-,-,-,-,Upregulated,-,-,-,Fact,1,1.5,1.5.3,1.5.3.2,-,微小RNA
3030,KP10,36676955,"WA treatment#down-regulates#miR-1275, miR-326, miR-1908-5p, and miR-3940-3p",RNA Regulation,-,-,Cancer,-,-,-,-,Downregulated,-,-,-,Fact,1,1.5,1.5.3,1.5.3.2,-,微小RNA
7312,KP10,36676955,Predicted target genes of DEMs#showed enrichment in#cancer-associated gene ontology terms and KEGG pathways,Pathway Analysis,-,-,Cancer,-,KEGG,-,-,-,-,-,-,Fact,1,1.3,1.3.1,1.3.1.3,-,协同效应
6679,KP10,15221937,"DNA sequence copy number gains#were detected for#SNRPN, GNLY, NME1, DDX15, ABCB1, ATM, LAMA3, MYBL2, ZNF217, TNFRSF6B, MSH2, TERC, SERPINE1, AFM137XA11, IGF1R, PTPN1",Expression Patterns,"SNRPN, GNLY, NME1, DDX15, ABCB1, ATM, LAMA3, MYBL2, ZNF217, TNFRSF6B, MSH2, TERC, SERPINE1, IGF1R, PTPN1",-,-,-,-,-,-,upregulated,-,-,-,Fact,5,5.3,5.3.1,5.3.1.4,-,基因组不稳定性
202,KP10,33863325,SHMT2 expression#correlates with#the cell cycle,Expression Patterns,SHMT2,-,-,-,-,-,-,-,-,-,-,Inference,1,1.1,1.1.1,1.1.1.3,-,细胞周期检查点控制
6973,KP10,33863325,SHMT2 expression#is upregulated in#TSCC tissues and cell lines,Expression Patterns,SHMT2,-,TSCC,-,-,-,-,upregulated,-,-,-,Fact,1,1.1,1.1.1,1.1.1.3,-,细胞周期检查点控制
1983,KP10,33863325,SHMT2#is involved in#cell cycle regulation of TSCC cells,Cell Cycle Control,SHMT2,-,TSCC,-,-,-,-,-,-,-,-,Fact,1,1.1,1.1.1,1.1.1.3,-,细胞周期检查点控制
7908,KP10,33863325,SHMT2#may serve as#a novel prognostic indicator of TSCC,Prognostic Associations,SHMT2,-,TSCC,-,-,-,-,-,-,-,-,Inference,7,7.2,7.2.1,7.2.1.1,-,细胞周期蛋白
676,KP10,25903125,RB tumor suppressor and related proteins#play#critical roles in development through regulation of genes involved in cell fate,Cell Fate Regulation,RB1,-,-,-,-,-,-,-,-,-,-,Fact,1,1.4,1.4.3,1.4.3.3,-,凋亡阈值调节
6422,KP10,28463841,Genes#are involved in#regulation and distribution of melanin pigmentation or melanogenesis in melanocytes,Molecular Mechanisms,-,Melanocytes,-,-,-,-,-,-,-,-,-,Fact,1,1.4,1.4.1,1.4.1.2,-,细胞周期进程
5758,KP10,28463841,"SNPs and haplotypes within or surrounding these genes#have been identified as#risk factors for skin cancer, in particular melanoma",Cancer Association,-,Melanocytes,"Skin cancer, melanoma",-,-,-,-,-,-,-,-,Fact,7,7.1,7.1.1,7.1.1.1,-,基因突变
594,KP10,28463841,Predictive value and utility#are increased when considering#gene polymorphism interactions,Biomarker Analysis,-,-,Skin cancer,-,-,-,-,-,-,-,-,Inference,7,7.1,7.1.1,7.1.1.1,-,基因突变
3114,KP10,28463841,Clinical phenotypes associated with germline changes in pigmentation and naevogenic genes#must be understood by#clinicians,Clinical Implementation,-,Melanocytes,Skin cancer,-,-,-,-,-,-,-,-,Fact,8,8.1,8.1.1,8.1.1.1,-,肿瘤类型
609,KP10,11960918,CDKN2A (p16INK4a and p14ARF) and p53 genes#are#major targets for inactivation in OSCC,Cancer Association,"CDKN2A, TP53",-,OSCC,-,-,inactivated,-,-,-,-,-,Fact,2,2.2,2.2.1,2.2.1.1,-,RB通路缺陷
7554,KP10,11960918,Tumors#were analyzed for#mutations in exons 5-8 and allelic losses in the p53 gene,Biomarker Analysis,TP53,-,OSCC,-,-,-,-,-,-,-,-,Fact,7,7.1,7.1.1,7.1.1.1,-,基因突变
2410,KP10,11960918,CDKN2A/p16INK4a inactivation#is inversely related to#frequency of loss of heterozygosity at the p53 locus,Cancer Association,"CDKN2A, TP53",-,OSCC,-,-,inactivated,-,-,-,-,-,Fact,2,2.2,2.2.1,2.2.1.1,-,RB通路缺陷
4675,KP10,11960918,CDKN2A (p16INK4a and p14ARF) and p53 genes#are involved in#two independent cell cycle pathways,Cell Cycle Control,"CDKN2A, TP53",-,OSCC,-,-,-,-,-,-,-,-,Fact,1,1.1,1.1.3,1.1.3.3,-,增殖抑制
1269,KP10,12812137,Loss of p16INK4A#coincided with#transformation of neurofibromas to malignant peripheral nerve sheath tumors in NF1 patients,Cancer Association,CDKN2A,-,"Neurofibromas, malignant peripheral nerve sheath tumors",-,-,NF1 patients,-,-,-,-,-,Fact,2,2.2,2.2.1,2.2.1.1,-,RB通路缺陷
3009,KP10,12812137,Cell cycle regulators#carried#independent prognostic value in lymphomas,Prognostic Associations,-,Lymphocytes,Lymphomas,-,-,-,-,-,-,-,-,Fact,7,7.2,7.2.1,7.2.1.1,-,细胞周期蛋白
1615,KP10,12812137,"MDM2 overexpression#identified#patients with poor prognosis in follicle center lymphomas, extranodal marginal zone lymphomas, and mantle cell lymphomas",Prognostic Associations,MDM2,-,"Follicle center lymphomas, extranodal marginal zone lymphomas, mantle cell lymphomas",-,-,Poor prognosis,upregulated,-,-,-,-,Fact,7,7.2,7.2.1,7.2.1.1,-,细胞周期蛋白
4182,KP10,35489737,"MB#is classified into#three subgroups: WNT, SHH, and non-WNT/non-SHH",Cancer Pathways,"WNT, SHH",-,Medulloblastoma,-,-,Discrete patient profiles and prognoses,-,-,-,-,-,Fact,7,7.4,7.4.1,7.4.1.2,-,分子亚型
5390,KP10,35489737,"SHH tumors#contain#mutations and alterations in GLI1, GLI2, SUFU, and PTCH1 genes",Molecular Event triples,"GLI1,GLI2,SUFU,PTCH1",-,SHH tumors,-,SHH pathway,-,-,-,-,-,-,Fact,7,7.1,7.1.1,7.1.1.1,-,基因突变
2624,KP10,35489737,Presence of TP53 gene alterations and/or MYC amplifications#was considered as#the most reliable prognostic factor,Prognostic Factors,"TP53,MYC",-,-,-,-,-,-,-,-,-,-,Fact,7,7.2,7.2.1,7.2.1.1,-,细胞周期蛋白
768,KP10,35489737,"Group3/4 MB subgroup#displays#several molecular patterns, including MYC and OTX2 amplification, GFI1B activation, KBTBD4 mutation, GFI1 rearrangement, PRDM6 enhancer hijacking, KDM6A mutation, LCA histology, chromosome 10 loss, isochromosome 17q, SNCAIP duplication, and CDK6 amplification",Genetic Alterations,"MYC,OTX2,GFI1B,KBTBD4,GFI1,PRDM6,KDM6A,SNCAIP,CDK6",-,Medulloblastoma (Group3/4),-,-,-,upregulated,-,-,-,-,Fact,5,5.5,5.5.1,5.5.1.1,-,错义突变
3800,KP10,38890447,Chromosomal translocations of the NUP98 gene#are found in#acute myeloid leukemia (AML) patients,Genetic Alterations,NUP98,-,Acute myeloid leukemia (AML),-,-,poor outcomes,-,-,-,-,-,Fact,5,5.4,5.4.1,5.4.1.2,-,基因间融合
1810,KP10,38890447,Oncogenic activity of NUP98 fusion proteins#is dependent on#interaction between Mixed Lineage Leukemia 1 and menin,Mechanism of Action,"NUP98,MLL1",-,-,-,-,-,-,-,-,-,-,Fact,1,1.3,1.3.3,1.3.3.1,-,P53通路相互作用
4421,KP10,38890447,"Palbociclib or Gilteritinib combined with menin inhibitor#affects#pathways relevant to leukemogenesis, including cell cycle regulation, cell proliferation, and differentiation",Combination Therapies triples,-,-,Leukemogenesis,"Palbociclib,Gilteritinib,Menin inhibitor",-,-,-,-,-,-,-,Fact,3,3.2,3.2.2,3.2.2.4,-,多靶点抑制策略
1025,KP10,38890447,Study#provides#strong rationale for clinical translation of menin and kinase inhibitors as novel treatments for NUP98-r leukemia,Therapeutic Development,NUP98,-,NUP98-r leukemia,"Menin inhibitors,Kinase inhibitors",-,-,-,-,-,-,-,Inference,3,3.1,3.1.1,3.1.1.4,-,增殖信号阻断
2260,KP10,26310374,"CDK6, MET, EZH2, EGFR, and NOTCH1#were over-expressed#in chromosomes 7 and 9",Expression Patterns,"CDK6,MET,EZH2,EGFR,NOTCH1",-,-,-,-,-,-,upregulated,-,-,-,Fact,5,5.3,5.3.1,5.3.1.1,-,基因扩增
6870,KP10,26310374,CDKN2A/2B#were minimally expressed#in chromosomes 7 and 9,Expression Patterns,"CDKN2A,CDKN2B",-,-,-,-,-,-,downregulated,-,-,-,Fact,5,5.3,5.3.2,5.3.2.1,-,基因缺失
7731,KP10,26310374,"Fusion gene analysis#showed#14 candidate genes, including TWIST2 and UPK3BL, functionally involved in R-GBM",Genetic Alterations,"TWIST2,UPK3BL",-,R-GBM,-,-,-,-,-,-,-,-,Fact,5,5.4,5.4.1,5.4.1.2,-,基因间融合
7758,KP10,38751441,ctDNA#demonstrates#significance as a polyvalent biomarker for cancer,Biomarker Analysis,ctDNA,-,Cancer,-,-,-,-,Polyvalent biomarker,-,-,-,Fact,7,7.6,7.6.1,7.6.1.1,-,突变检测
6091,KP10,38356706,HCS in neuroblastoma BE(2)-C cells#identified#cell cycle regulators that control cell differentiation,Experimental Methods,-,Neuroblastoma BE(2)-C cells,Neuroblastoma,-,-,-,-,-,-,-,-,Fact,1,1.4,1.4.2,1.4.2.2,-,分化标志物表达
233,KP10,38356706,High tumor CDKN3 mRNA levels#correlate with#poor patient survival in neuroblastoma,Prognostic Factors,CDKN3,-,Neuroblastoma,-,-,poor patient survival,-,upregulated,-,-,-,Fact,7,7.2,7.2.1,7.2.1.1,7.2.1.1.1,Cyclin D1表达
3512,KP10,38356706,miR-506-3p and retinoic acid#down-regulated#CDKN3 expression,Regulation,CDKN3,-,-,"miR-506-3p,Retinoic acid",-,-,-,downregulated,-,-,-,Fact,1,1.5,1.5.3,1.5.3.2,-,微小RNA
3568,KP10,36838737,"Luteoloside#has shown#anti-inflammatory, antiviral, and antitumor properties",Drug Properties,-,-,-,Luteoloside,-,-,-,-,-,-,-,Fact,3,3.1,3.1.3,3.1.3.2,-,死亡受体通路激活
5765,KP10,36838737,"Bioinformatics, molecular docking, and cellular thermal shift assays#were utilized to predict#potential targets of luteoloside in neuroblastoma",Experimental Methods,-,-,Neuroblastoma,Luteoloside,-,-,-,-,-,-,-,Fact,1,1.5,1.5.2,1.5.2.3,-,抑制复合物
7635,KP10,38113031,SMARCA4 gene#encodes#BRG1,Molecular Event triples,SMARCA4,-,-,-,-,-,-,-,-,-,-,Fact,5,5.4,5.4.3,5.4.3.1,-,原癌基因激活
1826,KP10,38113031,SMARCA4/BRG1-deficient uterine tumor#fulfills#clinicopathologic features of undifferentiated uterine sarcoma,Disease triples,SMARCA4,-,Uterine sarcoma,-,-,34-year-old Asian woman,-,-,-,-,-,Fact,1,1.4,1.4.3,1.4.3.2,-,衰老程序激活
1702,KP10,38113031,"Frameshift mutations in SMARCA4 gene#occurred with#mutations in KMT2C, ARID1B, KAT6A, NCOR1, APC, and CTNNB1",Mutation triples,"SMARCA4, KMT2C, ARID1B, KAT6A, NCOR1, APC, CTNNB1",-,-,-,Wnt signaling,-,-,-,-,-,-,Fact,5,5.5,5.5.1,5.5.1.1,-,错义突变
2190,KP10,38113031,Copy number gain#identified in#MDM2 and CDK4,Mutation triples,"MDM2, CDK4",-,-,-,-,-,-,-,-,-,-,Fact,5,5.3,5.3.1,5.3.1.3,-,MDM2扩增
4479,KP10,37114614,Knowledge about SCAs#comes from#intracranial glioma,Disease triples,-,-,Intracranial glioma,-,-,-,-,-,-,-,-,Fact,1,1.2,1.2.2,1.2.2.1,-,转录因子网络
2059,KP10,37114614,Genome-sequencing analyses of primary SCAs#aim to characterize#mutational landscape,Experimental Methods triples,-,-,Primary SCAs,-,-,-,-,-,-,-,-,Fact,5,5.5,5.5.3,5.5.3.2,-,热点区域
3016,KP10,37114614,Recurrently mutated pathways#were#summarized,Pathway triples,-,-,-,-,-,-,-,-,-,-,-,Fact,1,1.3,1.3.3,1.3.3.2,-,DNA修复机制
6451,KP10,37114614,Molecular profiling of primary SCAs#might represent#candidate drug targets,Disease triples,-,-,Primary SCAs,-,-,-,-,-,-,-,-,Inference,7,7.4,7.4.1,7.4.1.3,-,通路活性
4551,KP10,37671310,Proto-oncogenes#regulate#critical intra- or intercellular functions,Function triples,-,-,-,-,-,-,-,-,-,-,-,Fact,1,1.1,1.1.2,1.1.2.3,-,复合物活性调节
5680,KP10,25191523,Smurf2 E3 ubiquitin ligase#modulates#proliferation and invasiveness of breast cancer cells,Function triples,SMURF2,Breast cancer cells,Breast cancer,-,-,-,-,-,-,-,-,Fact,1,1.1,1.1.3,1.1.3.3,-,增殖抑制
6461,KP10,25191523,Smurf2#regulates#TGF-β/BMP pathway and other signaling pathways,Pathway triples,SMURF2,-,-,-,"TGF-β, BMP",-,-,-,-,-,-,Fact,1,1.3,1.3.2,1.3.2.3,-,p38通路交互
5844,KP10,25191523,Silencing of Smurf2#downregulated#proliferation of breast cancer cells by modulating PI3K-PTEN-AKT-FoxO3a pathway via CNKSR2,Regulation triples,"SMURF2, PTEN, AKT, FOXO3A, CNKSR2",Breast cancer cells,Breast cancer,-,PI3K-PTEN-AKT-FoxO3a,-,-,Downregulated,-,-,-,Fact,1,1.3,1.3.1,1.3.1.3,-,协同效应
6932,KP10,25191523,Silencing Smurf2 using siRNAs#regulates#tumorigenic properties of human breast cancer cells,Regulation triples,SMURF2,Breast cancer cells,Breast cancer,-,-,-,-,-,-,-,-,Fact,1,1.1,1.1.3,1.1.3.3,-,增殖抑制
1295,KP10,25191523,Smurf2#may serve as#potential molecule for targeted cancer therapy,Therapeutic Development triples,SMURF2,-,Breast cancer,-,PI3K-AKT,-,-,-,-,-,-,Inference,3,3.1,3.1.1,3.1.1.4,-,增殖信号阻断
2496,KP10,31261643,CTC subpopulations#exhibit#different expressions of transcripts regarding differential phenotypes and endocrine signaling pathways,Expression Patterns triples,"EPCAM, CD44, CD24, MYC, MUC1, FOXO, PTEN",Circulating tumor cells,-,-,Endocrine signaling,-,-,-,-,-,-,Fact,1,1.2,1.2.2,1.2.2.1,-,转录因子网络
4309,KP10,14521217,Mutated gatekeeper genes#implicated in#five specific signaling pathways in skin carcinogenesis,Pathway triples,-,-,Skin carcinogenesis,-,-,-,-,-,-,-,-,Fact,2,2.1,2.1.2,2.1.2.2,-,MAPK通路激活
1515,KP10,14521217,"70-80% of XP skin cancers#exhibit#mutations in P53, PTCH1, SMO, or CDKN2A genes",Mutation triples,"TP53, PTCH1, SMO, CDKN2A",-,"Skin cancer, SCCs, BCCs",-,-,-,-,-,-,-,-,Fact,5,5.5,5.5.1,5.5.1.1,-,错义突变
2644,KP10,14521217,Acquired activation of pathways#alters#proliferation and differentiation of keratinocytes,Cell Cycle Control,CDKN2A,keratinocytes,Carcinogenesis,-,-,-,-,-,-,-,-,Fact,1,1.4,1.4.1,1.4.1.2,-,细胞周期进程
6106,KP10,37138505,Key regulators and related signaling pathways#are involved in#functional defects of MMD ECFCs,Signaling Networks,CDKN2A,ECFCs,Moyamoya disease (MMD),-,-,-,-,-,-,-,-,Fact,2,2.2,2.2.2,2.2.2.3,-,CDK活性失调
1668,KP10,37138505,Cell cycle pathway#is enriched in#functional analysis of ECFCs,Pathway Enrichment,CDKN2A,ECFCs,Moyamoya disease (MMD),-,Cell cycle,-,-,-,-,-,-,Fact,1,1.1,1.1.1,1.1.1.3,-,细胞周期检查点控制
7539,KP10,37138505,CDKN2A#shows#highest expression in MMD ECFCs,Expression Patterns,CDKN2A,ECFCs,Moyamoya disease (MMD),-,-,-,-,Upregulated,-,-,-,Fact,5,5.3,5.3.2,5.3.2.1,-,CDKN2A缺失
2539,KP10,21151896,"MCRs of gain or loss#contain#MOCS2, NSUN3, KHDRBS2, SNTG1, and ST18",Genetic Alterations,"MOCS2, NSUN3, KHDRBS2, SNTG1, ST18",-,Lung adenocarcinoma,-,-,-,-,-,-,-,-,Fact,5,5.3,5.3.1,5.3.1.4,-,基因组不稳定性
6428,KP10,21151896,"Genetic pathways#involve#gains of MYC, deletions of RB1 and WRN in lung adenocarcinoma",Cancer Pathways,"MYC, RB1, WRN",-,Lung adenocarcinoma,-,-,-,-,-,-,-,-,Fact,5,5.3,5.3.1,5.3.1.1,-,CDK4扩增
1312,KP10,37420093,iCell-based integration#identifies#biological processes perturbed during senescence,Systems Biology,TP53,-,Senescence,-,-,-,-,-,-,-,-,Fact,1,1.4,1.4.3,1.4.3.2,-,衰老程序激活
7646,KP10,17457042,Prognostic significance of TP53 loss of function#has been#controversial in astrocytomas,Cancer Association,TP53,-,Astrocytomas,-,-,-,-,-,-,-,-,Inference,5,5.5,5.5.1,5.5.1.2,-,无义突变
770,KP10,17457042,Mutant erbB2#can inhibit#EGFR-mediated oncogenic transformation irrespective of p53 status,Mechanism of Action,"ERBB2, EGFR, TP53",Glioblastoma cells,Glioblastoma,-,-,-,-,-,-,-,-,Fact,1,1.3,1.3.2,1.3.2.1,-,RAS/RAF/MEK/ERK级联
5722,KP10,17457042,T691S-expressing cells#show#reduced Akt and GSK-3 alpha/beta phosphorylation,Signaling Networks,"AKT1, GSK3A, GSK3B",-,Glial cell transformation,-,PI3K,-,-,Downregulated,-,-,-,Fact,1,1.3,1.3.1,1.3.1.2,-,反馈调节
467,KP10,32532875,PI3K and HSP90 inhibitors#are validated in#drug combination synergy experiments,Drug Development,"PIK3CA, HSP90AA1",-,Cancer,"PI3K inhibitors, HSP90 inhibitors",-,-,-,-,-,-,-,Fact,2,2.5,2.5.1,2.5.1.1,-,联合用药方案
2579,KP10,32532875,Study of tumor#generates#insights into RET and other targets in rhabdomyosarcoma,Cancer Association,RET,-,Rhabdomyosarcoma,-,-,-,-,-,-,-,-,Fact,1,1.3,1.3.2,1.3.2.1,-,RAS/RAF/MEK/ERK级联
154,KP10,31553483,Driver genes and signaling pathways#are relevant to#GIST progression,Cancer Pathways,"KIT, PDGFRA",-,Gastrointestinal stromal tumor (GIST),-,-,-,-,-,-,-,-,Fact,1,1.3,1.3.1,1.3.1.1,-,信号交叉激活
7087,KP10,31553483,"Genetic profiles#include#mutations, gene fusions, copy number alterations in driver genes",Genetic Alterations,"KIT, PDGFRA",-,Gastrointestinal stromal tumor (GIST),-,-,-,-,-,-,-,-,Fact,5,5.5,5.5.1,5.5.1.1,-,错义突变
6821,KP10,31553483,Genetic alterations#include#oncogenic mutations and amplification-dependent expression of oncogenes,Genetic Alterations,"KIT, PDGFRA",-,Cancer,-,-,-,-,Upregulated,-,-,-,Fact,5,5.3,5.3.1,5.3.1.1,-,基因扩增
6435,KP10,31553483,PI3K-related genes#are upregulated in#malignant GIST,Expression Patterns,"SNAI1, TPX2",-,Gastrointestinal stromal tumor (GIST),-,PI3K,-,-,Upregulated,-,-,-,Fact,1,1.3,1.3.1,1.3.1.1,-,信号交叉激活
1117,KP11,8891723,CDKs#are negatively controlled by#cyclin-dependent kinase inhibitors (CKIs),Regulation,"CDK4, CDK6",-,-,-,-,-,-,-,-,-,-,Fact,1,1.1,1.1.3,1.1.3.3,-,增殖抑制
7216,KP11,7651726,p16INK4a#is not expressed in#many normal tissues,Expression Patterns,CDKN2A,-,-,-,-,-,-,Silenced,-,-,-,Fact,1,1.1,1.1.3,1.1.3.1,-,G1期阻滞
7681,KP11,7651726,p16INK4a#causes#G1 phase arrest in NIH3T3 fibroblasts,Cell Cycle Control,CDKN2A,NIH3T3 fibroblasts,-,-,-,-,-,-,-,-,-,Fact,1,1.1,1.1.3,1.1.3.1,-,G1期阻滞
4781,KP11,8805225,Synthetic peptide from p16#interacts with#CDK4 and CDK6,Protein Interaction,"CDKN2A, CDK4, CDK6",-,-,-,-,-,-,-,-,-,-,Fact,1,1.1,1.1.2,1.1.2.3,-,复合物活性调节
7670,KP11,7647780,"p16INK4 mutations#are detected in#familial melanoma kindreds, human tumour cell lines, and primary tumours",Cancer Association,CDKN2A,-,"Familial melanoma, Tumours",-,-,-,-,-,-,-,-,Fact,2,2.1,2.1.1,2.1.1.1,-,CDK4/6基因扩增
3255,KP11,9324288,Growth suppression#involves#pRb pathway,Cell Cycle Control,RB1,T-ALL cell line,-,-,pRb pathway,-,-,-,-,-,-,Fact,1,1.1,1.1.1,1.1.1.1,-,RB蛋白磷酸化
3806,KP11,21224071,CDK4 expression#induces#epidermal hyperplasia and increased malignant progression to squamous cell carcinoma,Cancer Association,CDK4,-,Squamous cell carcinoma,-,-,-,-,-,-,-,-,Fact,1,1.4,1.4.1,1.4.1.2,-,细胞周期进程
4925,KP11,21224071,CDK6 and cyclin D3#form#preferential complexes in K5CDK6 epidermis,Protein Complex Dynamics,"CDK6, CCND3",-,-,-,-,-,-,-,-,-,-,Fact,1,1.1,1.1.2,1.1.2.2,-,Cyclin D-CDK6复合物
3056,KP11,8633069,Alterations in cell cycle regulatory machinery#contribute to#development of many human cancers,Cancer Pathways,-,-,Human cancers,-,-,-,-,-,-,-,-,Fact,1,1.1,1.1.1,1.1.1.3,-,细胞周期检查点控制
3918,KP11,8633069,Deregulated expression of G1 cyclins#includes#loss of function of p16INK4a and RB,Regulation,"CDKN2A, RB1",-,-,-,G1 cyclin-dependent kinase,-,-,-,-,-,-,Fact,1,1.1,1.1.3,1.1.3.1,-,G1期阻滞
124,KP11,8633069,p16INK4a expression#shows#inverse relationship with functional RB in many cell lines,Expression Patterns,"CDKN2A, RB1",-,-,-,-,-,-,downregulated,-,-,-,Fact,1,1.1,1.1.3,1.1.3.1,-,G1期阻滞
4093,KP11,8633069,p16INK4a#is expressed in#cervical cancer cell lines with non-functional RB,Expression Patterns,"CDKN2A, RB1",Cervical cancer cell lines,Cervical cancer,-,-,-,-,upregulated,-,-,-,Fact,1,1.1,1.1.3,1.1.3.1,-,G1期阻滞
7519,KP11,8633069,p16INK4a levels#are increased in#primary cells with inactivated RB by DNA tumor virus proteins,Expression Patterns,"CDKN2A, RB1",Primary cells,-,-,-,-,-,upregulated,-,-,-,Fact,1,1.1,1.1.3,1.1.3.1,-,G1期阻滞
5556,KP11,8633069,RB#controls#E2F transcription factor activity,Cell Cycle Control,"RB1, E2F",-,-,-,-,-,-,-,-,-,-,Fact,1,1.1,1.1.1,1.1.1.2,-,E2F转录因子释放
7500,KP11,8633069,E2F1 overexpression#leads to#inhibition of cyclin D1-dependent kinase activity and induces p16-related transcript expression,Regulation,"E2F1,CDKN2A,CCND1",-,-,-,-,-,-,upregulated,-,-,-,Fact,1,1.2,1.2.2,1.2.2.1,-,转录因子网络
7742,KP11,17122635,CDK6 expression#correlates with#histologic grade of sarcoma,Cancer Association,CDK6,-,Sarcoma,-,-,-,-,upregulated,-,-,-,Fact,7,7.2,7.2.1,7.2.1.1,7.2.1.1.2,CDK4/6表达
2461,KP11,17122635,p27 expression#is inversely correlated with#sarcoma grade,Cancer Association,CDKN1B,-,Sarcoma,-,-,-,-,downregulated,-,-,-,Fact,7,7.2,7.2.1,7.2.1.1,7.2.1.1.3,p16表达
2443,KP11,31207004,Palbociclib#is#an effective anticancer drug for breast cancer in women,Drug Development,"CDK4,CDK6",-,Breast cancer,Palbociclib,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
4139,KP11,31207004,Palbociclib#represents#a candidate drug to combat CMT,Drug Development,-,-,CMT,Palbociclib,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
5586,KP11,31207004,Palbociclib#inhibited#growth of P114 and CF41 cell spheroids,Therapeutic Response,-,"P114, CF41 cell spheroids",-,Palbociclib,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
2107,KP11,20180048,"GRN163L#alters#expression of cyclin D1, cdk4, and cdk6",Regulation,"CCND1,CDK4,CDK6",Mesenchymal stem cells,-,GRN163L,-,-,-,altered,-,-,-,Fact,1,1.2,1.2.2,1.2.2.1,-,转录因子网络
3249,KP11,20180048,Telomerase activity#is essential for#growth and survival of malignant cells,Cancer Pathways,-,Malignant cells,-,-,-,-,-,-,-,-,-,Fact,1,1.4,1.4.1,1.4.1.2,-,细胞周期进程
1303,KP11,20180048,GRN163L removal#restores#mRNA and protein expression of genes and MSC phenotype,Therapeutic Development,"CCND1,CDK4,CDK6",Mesenchymal stem cells,-,GRN163L,-,-,-,normalized,-,-,-,Fact,1,1.2,1.2.2,1.2.2.1,-,转录因子网络
5776,KP11,20180048,GRN163L#does not interfere with#self-renewal and differentiation of MSCs under short-term culture,Stem Cell Biology,-,Mesenchymal stem cells,-,GRN163L,-,-,-,-,-,-,-,Fact,1,1.6,1.6.1,1.6.1.1,-,自我更新
171,KP11,20180048,GRN163L#supports#cancer treatment without depleting stem cell pools,Therapeutic Development,-,Stem cells,Cancer,GRN163L,-,-,-,-,-,-,-,Fact,1,1.6,1.6.1,1.6.1.1,-,自我更新
167,KP11,9655257,cyclin D1#declines significantly#in treated versus untreated cells,Expression Patterns,CCND1,-,-,-,-,-,-,downregulated,-,-,-,Fact,1,1.1,1.1.2,1.1.2.1,-,Cyclin D-CDK4复合物
3527,KP11,9655257,cyclin D2 and D3#remain higher#in treated versus untreated cells,Expression Patterns,"CCND2,CCND3",-,-,-,-,-,-,upregulated,-,-,-,Fact,1,1.1,1.1.2,1.1.2.1,-,Cyclin D-CDK4复合物
3617,KP11,30397176,IGF1R overexpression#promoted#drug escape,Mechanism of Action,IGF1R,-,-,-,-,-,-,upregulated,-,-,-,Fact,2,2.1,2.1.2,2.1.2.4,-,替代性生存通路
427,KP11,30397176,CDK4/6 inhibitors and IGF1R inhibitors#were synergistic#in vitro and active in mouse models,Combination Therapies,"CDK4,CDK6,IGF1R",-,-,"CDK4/6 inhibitors, IGF1R inhibitors",-,-,-,-,-,-,-,Fact,3,3.2,3.2.2,3.2.2.1,-,PI3K抑制剂协同
4535,KP11,30397176,CDK4/6 inhibitors and IGF1R inhibitors#repressed#cell cycle and PI3K/mTOR signaling,Pathway & Network Categories,"CDK4,CDK6,IGF1R",-,-,"CDK4/6 inhibitors, IGF1R inhibitors",PI3K/mTOR,-,-,-,-,-,-,Fact,1,1.3,1.3.1,1.3.1.1,-,信号交叉激活
